english,chinese
CR - ProductInventoryDistributionAdministrativePlan
BQ - Distribution
BQ - Mailing
BQ - Oversight
BQ - Provisioning
CR - ProductInventoryAllocation
BQ - Assignment
CR - ProductCustomerCombinationAssessment
BQ - BankandCampaignAlignment
BQ - ContextCriteria
BQ - ProductEligibility
BQ - ProductTypeSelection
CR - ProductPortfolioAnalysis
BQ - PerformanceAnalysis
CR - ProductandServiceAssessment
BQ - FunctionalConsistencyChecks
BQ - ProcessingErrorandIntegrityChecks
BQ - ResiliencyandPerformanceChecks
BQ - UsabilityChecks
CR - ProductSalesSupportAdministrativePlan
BQ - StaffAssignmentRoutine
BQ - StaffAvailabilityTrackingRoutine
CR - ServiceProviderAgreement
BQ - LegalTerm
BQ - PolicyTerm
BQ - RegulatoryTerm
CR - ProductTrainingProcedure
BQ - ContentDevelopment
BQ - ServiceDelivery
BQ - ServiceEvaluation
BQ - ServiceScheduling
CR - ProductionSystemAssessment
BQ - FunctionalRisk
BQ - ProductionRisk
BQ - BusinessRisk
BQ - OperationalRisk
CR - ProgramTradingOperatingSession
BQ - ProgramTradeExecutionFunction
BQ - ProgramTradedPortfolioAlgorithmFunction
BQ - ProgramTradedPortfolioMaintenanceFunction
CR - ProjectFinanceFacility
BQ - ProjectFinanceArrangementFulfillment
BQ - ProjectFinancePlacementFulfillment
BQ - ProjectFinanceRepaymentFulfillment
BQ - ProjectFinanceSPVFulfillment
CR - PromotionalEventManagementPlan
BQ - MarketTracking
BQ - ImpactAssessment
BQ - Participation
CR - ProspectCampaignSpecification
CR - ProspectCampaignProcedure
BQ - CandidateSelection
BQ - Execution
BQ - AnalysisFeedback
CR - ProspectCampaignPortfolioManagementPlan
BQ - MarketTracking
BQ - PerformanceAssessment
BQ - CampaignDirection
CR - PublicOfferingFacility
BQ - PublicPlacementFinancialAssessmentandAuditFulfillment
BQ - PublicPlacementIPOandUnderwritingFulfillment
BQ - PublicPlacementInstrumentRegistrationFulfillment
BQ - PublicPlacementInstrumentSpecificationFulfillment
BQ - PublicPlacementProspectusFulfillment
BQ - PublicPlacementRoadshowandMarketingFulfillment
CR - GlobalStandardSpecification
BQ - GlobalReferenceData
CR - QuotationProcedure
BQ - MarketQuoteRequestWorkstep
BQ - MarketQuoteSelectionWorkstep
CR - RegulatoryAndLegalAuthorityRelationshipManagementPlan
BQ - Troubleshooting
BQ - EstablishRelations
BQ - MaintainRelations
BQ - RepresentBankInterests
CR - RegulatoryComplianceAssessment
CR - RegulatoryComplianceAdministrativePlan
BQ - Authoring
BQ - Consolidation
BQ - Enquiries
CR - RewardPointsLog
BQ - Capture
BQ - Expiration
CR - RewardPointsTransaction
BQ - Award
BQ - Redemption
CR - ProductandServiceAgreement
BQ - OperationalTerm
CR - SalesProductAgreement
BQ - LegalTerms
BQ - RegulatoryTerms
BQ - PolicyTerms
CR - SavingsAccountFacility
BQ - Interest
BQ - ServiceFees
BQ - AccountLien
BQ - AccountSweep
BQ - DepositsandWithdrawals
BQ - Payments
BQ - IssuedDevice
CR - SecurityTradingFailsProcedure
BQ - SecuritiesFailAnalysisWorkstep
BQ - SecuritiesFailDeterminationWorkstep
CR - SecuritiesPositionLog
BQ - SecuritiesTransactionCapture
CR - SegmentStrategy
BQ - Initiative
CR - ServiceDirectoryEntry
BQ - AccessControlServicingProperties
BQ - ArrangementServicingProperties
BQ - ProductAccessServicingProperties
BQ - RelationshipServicingProperties
BQ - SalesServicingProperties
BQ - ServiceDeliveryServicingProperties
CR - ServicingRootCauseAnalysis
BQ - RootCauseAlgorithm
CR - ServicingEventLog
BQ - Assignment
BQ - Session
BQ - Issue
BQ - ServicingFacility
CR - ServicingIssueProcedure
BQ - ProductionIssueAnalysisWorkstep
BQ - ProductionIssueDeterminationWorkstep
BQ - ProductionIssueResolutionWorkstep
CR - ServicingMandateAgreement
BQ - CustomerMandate
CR - ServicingOrderProcedure
CR - CustomerContactSessionProcedure
BQ - Query
BQ - Authentication
BQ - Sales
BQ - Offer
BQ - ProductorService
BQ - Case
BQ - Order
BQ - Intelligence
BQ - History
CR - SpecialPricingConditionsDirectoryEntry
BQ - PricingTerms
CR - StandingOrderFacility
BQ - StandingOrderPayment
CR - RepoTransaction
BQ - RepoTransactionCashTransferTask
BQ - RepoTransactionInitiationTask
BQ - RepoTransactionSecurityTransferTask
CR - SubCustodianAgreement
BQ - LegalTerm
BQ - PolicyTerm
BQ - RegulatoryTerm
CR - SuitabilityAssessment
CR - SyndicateMembership
BQ - SyndicateComplianceClauses
BQ - SyndicateEligibilityClauses
CR - SyndicatedLoanFacility
BQ - Fulfillment
BQ - Origination
BQ - Structuring
BQ - SyndicateAssembly
CR - ITSystemDevelopment
BQ - FunctionalSpecification
BQ - TechnicalSpecification
BQ - SoftwareandDataSpecification
BQ - TestingSpecification
BQ - UsageSpecification
CR - ITSystemAdministrativePlan
BQ - Assurance
BQ - CapacityPlanningandResilience
BQ - Configuration
BQ - Inventory
CR - TermDepositFacility
BQ - Interest
BQ - ServiceFees
BQ - AccountLien
BQ - AccountSweep
BQ - DepositsandWithdrawals
BQ - Payments
BQ - IssuedDevice
CR - TradeClearingProcedure
BQ - MarketTradeConfirmationWorkstep
BQ - MarketTradeFundsandSecurityAvailabilityAssuranceWorkstep
BQ - MarketTradeMatchingWorkstep
BQ - MarketTradeOutTradeResolutionWorkstep
BQ - MarketTradeSettlementInitiationWorkstep
CR - TradeMatchingOperatingSession
BQ - TransactionConfirmationAffirmationFunction
BQ - TransactionReportingFunction
BQ - UnmatchedMarketTradeEscalationFunction
CR - TradeSettlementProcedure
BQ - MarketTradeCashSettlementWorkstep
BQ - MarketTradeSecuritiesSettlementWorkstep
BQ - MarketTradeSettlementConfirmationWorkstep
CR - MarketTradeReportingOperatingSession
BQ - TransactionReportingFunction
CR - TradedPositionOperatingSession
BQ - TradeCaptureandReportingFunction
BQ - TradeDealBlotterFunction
BQ - TradeQuoteandPricingFunction
BQ - TraderSecurityPositionManagementandAnalysisFunction
BQ - TraderTradingPermissionsandLimitsFunction
CR - TradingPositionManagementPlan
BQ - TradingBookAnalysisandReportingDuty
BQ - TradingBookRiskMitigationDuty
CR - InteractiveTransactionAssessment
CR - TransactionScheduleFacility
CR - CorporateTrustServicesFacility
BQ - TrustAssetMaintenanceandManagementFulfillment
BQ - TrustCourtAdministrationFulfillment
BQ - TrustEstate_InheritanceandIncomeTaxFulfillment
BQ - TrustTaxandExpenseFulfillment
CR - UnderwritingAssessment
CR - UnitTrustAdministrativePlan
BQ - FundAccountingRoutine
BQ - FundEnrolmentRoutine
BQ - FundFinancialReportingRoutine
BQ - FundInvestor_MiddleandBackOfficeServiceRoutine
BQ - FundManagementFeeRoutine
BQ - FundTaxAdministrationRoutine
CR - VirtualAccountFacility
BQ - DirectDebit
BQ - StandingOrder
BQ - ServiceFees
BQ - Interest
BQ - Statement
CR - eBranchChannelManagementPlan
BQ - CapacityPlanning
BQ - MaintenanceAndUpgrades
BQ - Troubleshooting
CR - eBranchChannelOperatingSession
BQ - Inbound
BQ - Outbound
CR - eTradingWorkbenchOperatingSession
BQ - InvestmentPortfolioValuationFunction
BQ - MarketOrderInitiationFunction
BQ - MarketOrderQuotationFunction
BQ - MarketPriceAnalysisFunction
Funds Confirmations
DynamicClientRegistration
Operations Eligibility - Eligibility
Operations Eligibility - Queries
Operations Eligibility - Service Information
Platform Identity - Authentication
Platform Identity - Service Information
Operations Payments - Cashplus Payment
Operations Payments - Service Information
Operations Products - Product
Operations Products - Service Information
Account Access
Accounts
Balances
Beneficiaries
Direct Debits
Scheduled Payments
Standing Orders
Statements
Transactions

Accounts
account
customer
Cards
OfferAndDecisionManagement
cards
Customer Foundational
accounts

Customers
Customer Service
customers
Customer
OfferAndDecisionManagement
Communications
CustomerFoundational

Offer&DecisionManagement
Onboarding
ProductPricingBundlingAndRewards
RetrieveProductDirectoryEntryList
Utilities
AnalyticsAndInformationManagement
CrossProductUtilities
VERIFICATION & AUTHORIZATIONS

Accounts
account
customer
Cards
OfferAndDecisionManagement
cards
Customer Foundational
accounts

Customers
Customer Service
customers
Customer
OfferAndDecisionManagement
Communications
CustomerFoundational


Customer Profile
Statements
Banking
Common
Client Registration
Register
Funds Confirmations
Client Registration
Statements
Account Access
Balances
Transactions
Accounts
AISP Accounts
AISP Consents Management
PIISP
PISP
Account Information
Account Balances
Transactions
Currencies v1
Currencies v2
Payment Initiation Service (PIS)
Confirmation of Funds Service (PIIS)
Account Information Service (AIS)
Callback
Authorization
Alias
Apple Pay
eScore
Forms
Google Pay
Headless 3-D Secure
iFrame
Info
Managed Mandate
Payment
Payment Link
Risk Management
Addresses
Age Certificate
Cash Account Openings
Cash account opening status
Cash Accounts
CreditCardTransactions
Credit Cards
Customer Solvency
Assets
Assets
Order Details
Order Entry
Order Expense report
Security Statics
Order Change
Order Delete
Support
Order Details
Order Entry
Order Expense report
Security Statics
Order Change
Order Delete
Support
Performances
Instant Payments
Payments
Security Accounts
Transaction Analysis
Transactions
Transaction
Authentication
Connect 🔗
Customers
Consumers
Accounts
Accounts (Simple)
Transactions
Payments
App Registration
Institutions
Verify Assets
Verify Income and Employment
Bank Statements
Pay Statements
Portfolios
TxPush
Reports
Assets
Cash Flow
Balance Analytics
Cash Flow Analytics
Third Party Access
Account Information Service
Funds Confirmation Service
Payment Initiation Service
Account Details
Account Balance
Account Transactions
Card Account Transactions

Single payment initiation
Periodic payment initiation
Bulk payment initiation
Payment Request
Registration
Payments
Periodic Payment Service
Payment Initiation Service
XML Payment Initiation Service
Authorisations Service
Funds Confirmation Service
Consent Service
Funds Confirmation Consent Service
Certificate Validation And Registration Service
Accounts Service
Account Access
Accounts
Balances
Beneficiaries
Direct Debits
Products
Scheduled Payments
Standing Orders
Transactions
Offers
Statements
Parties
Events
File Payments
Funds Confirmations
Branch
ATM
PCA
BCA
SME
CCC
Domestic Payments
Domestic Payments
International Payment Consents
International Payments
Domestic VRP Consents
Domestic VRPs
ASPSPs
AI Consents
AI Consents Authorizations
AI Consents Raw
List of Accounts
Account Details
Account Balances
Transactions
Transaction Details
Standing Orders
AI Consent Delete
Health
ASPSPs
Domestic Payments Consent
Domestic Payments
Domestic Payments Status
SEPA Payments Consent
SEPA Payments
SEPA Payments Status
Cross border Payments Consent
Cross border Payments
Cross border Payments Status
Domestic VRP Consents
Domestic VRPs
PI Consents Raw
Health
biller-service-controller
Link
Card Payments
Payment Instructions
Buyer Registration
Buyer Profiles
Suppliers
Real Card
Virtual Card
Funding Source
Contact
Authorization Report
Clearing Report
Clearing Summary Report
Consents
Retrieve Account Balances
Retrieve Accounts Balances by Account Id
Cancel Payment
Carded Rate
Retrieve Payment
Quotes
Payment
Retrieve Account Balances
Retrieve Accounts Balances by Account Id
Cancel Payment
Carded Rate
Retrieve Payment
Quotes
Payment
Authentication
Connect 🔗
Customers
Consumers
Accounts
Accounts (Simple)
Transactions
Payments
App Registration
Institutions
Verify Assets
Verify Income and Employment
Bank Statements
Pay Statements
Portfolios
TxPush
Reports
Assets
Cash Flow
Balance Analytics
Cash Flow Analytics
Third Party Access
Case Filing
Chargebacks
Chargebacks (Debit MasterCard and Europe Dual Acquirer)
Claims
Fees
Fees (Debit MasterCard and Europe Dual Acquirer)
Fraud
Health Check
Queues
Reconciliation
Retrievals
Retrievals (Debit MasterCard and Europe Dual Acquirer)
Transactions
Transactions (Debit MasterCard and Europe Dual Acquirer)
Request Activation Methods
Deliver Activation Code
Notify Service Activated
Authorize Service
Notify Token Updated
Validate Activation Code
Get Account Information
Notify Suspicious Events
Merchant Category Codes
Merchant Industries
Merchant Point of Interest
Place By Location Id
Providers
Provider
Suppliers
Supplier
Payments
Payment
Reconciliation Record
merchant match
merchant metrics
catalogs
Banking
Account Access
Accounts
Balances
Beneficiaries
Direct Debits
Offers
Parties
Products
Scheduled Payments
Standing Orders
Statements
Transactions
ATMs
Branches
Personal Current Accounts
FCA Service Quality Metrics
Domestic Payments
Payment Details
Domestic Scheduled Payments
Domestic Standing Orders
Domestic VRP Consents
Domestic VRPs
Account Access Consents
Accounts
Balances
Statements
Party
Offers
products
Transactions
Direct Debits
Standing Orders
accounts-v3
authorize-v2
Customer accounts
Dynamic Sandbox Api
Assets
Authorization
Token revocation
Decoupled authentication and authorization
payments-v4
payments-v4
own-transfer-v4
salary-pension-v4
payments-v4
payments-v2
Customer accounts
cards-v5
Assets
Authorization
Token revocation
commercial-cards-v1
Assets
Authorization
Token revocation
Confirmation of funds
Dynamic Sandbox Api
Assets
Authorization
Token revocation
Decoupled authentication and authorization
payments-v4
payments-v4
payments-v5
payments-v5
own-transfer
single-sca-payments
Addresses
Age Certificate
Cash Account Openings
Cash account opening status
Cash Accounts
CreditCardTransactions
Credit Cards
One-Time Passwords
Partners
Subscription
Transaction Analysis
transaction authorization
Transactions
Transaction
Account Access
Accounts
Balances
Beneficiaries
Direct Debits
Offers
Parties
Products
Scheduled Payments
Standing Orders
Statements
Transactions
ATM
BCA
Branch
CCC
Funds Confirmations
PCA
Domestic Payments
Payment Details
Domestic Scheduled Payments
Domestic Standing Orders
File Payments
International Payments
International Scheduled Payments
International Standing Orders
SME
plaid
Cash Account Openings
Cash account opening status
Loan Offers
Developer Tools
Other
Beneficiaries
Cards
Compliance
Direct Debit
Endusers
Ledgers
Customer Configuration
Webhooks
Transactions
Credit
Rewards
Documents
amortization-schedule-controller
min-down-payment-calculator-contoller

inventory
Sentiment
Emotion
Semantic Similarity
Name Entity Recognition
Keywords
Taxonomy
Intent
Abuse
Text Parser
Classification
Virality Detection
Filters
Phrase Extractor
Language
Funds Confirmations
Domestic Payments
Domestic Scheduled Payments
Domestic Standing Orders
File Payments
International Payments
International Scheduled Payments
Domestic VRP Consents
Domestic VRPs
MobileAuthorization
OAuth
V1Transactions
ApplePay
BankAccounts
Bookings
BookingCustomAttributes
Cards
CashDrawers
Catalog
Customers
CustomerCustomAttributes
CustomerGroups
CustomerSegments
Devices
Disputes
Employees
GiftCards
GiftCardActivities
Inventory
Invoices
Labor
Locations
LocationCustomAttributes
Checkout
Transactions
Loyalty
Merchants
Orders
OrderCustomAttributes
Payments
Payouts
Refunds
Sites
Snippets
Subscriptions
Team
Terminal
Vendors
WebhookSubscriptions
Retail Account Services
Open Banking Accounts API
Open Banking Payments API
Domestic Standing Orders Consents
Domestic Standing Orders
Account and Transactions
Payment Services
OAuth
Account Services
Bank Service
PISP Service
Account Access
Accounts
Balances
Beneficiaries
Direct Debits
Products
Scheduled Payments
Standing Orders
Statements
Transactions
Client Registration
Funds Confirmations
Domestic Payments
Domestic Scheduled Payments
Domestic Standing Orders
International Payments
Authorization Endpoint
Configuration Endpoint
Client Registration Endpoint
Token Endpoint
UserInfo Endpoint
Initial Access Token Service
Account Information Service
Payment Initiation Service
Confirmation of Funds Service
Accounts
Balances
Beneficiaries
Parties
Transactions
Domestic Payments
Domestic Scheduled Payments
International Payments
International Scheduled Payments
Retrieve account balances
Originate an ACH Payment
Check Individual ACH Payment Status
Funds Confirmations
Retrieve product pricing

Domestic Payments
Domestic Scheduled Payments
Domestic Standing Orders
File Payments
International Payments
International Scheduled Payments
International Standing Orders
Create Payment
Create Tokenized Payment
Create a credit transfer
Create a request for information
Verify a routing number
Create a response to a request for information
Retrieve a credit transfer
Retrieve a request for information
Retrieve a response to a request for information
Retrieve a request for payment
Create a response to a request for payment
Retrieve a response to a request for payment
Create a request for payment
Cancel a request for payment
Send payment acknowledgement
Search all RTP messages
Account Access
Accounts
Balances
Beneficiaries
Direct Debits
Offers
Partys
Products
Scheduled Payments
Standing Orders
Statements
Transactions
Search for transactions
Generate transaction reports
location
status
payment
templated payment
Authorisations
Financial Data
Payments
Consents
Institutions
Application
Users
Financial Profile
Notifications
Virtual Accounts Beneficiaries
Virtual Accounts Accounts
Virtual Accounts Payments
Virtual Accounts Clients
Virtual Accounts Refunds
Variable Recurring Payments
Transactions
Accounts
Verification
Cobrand
DataExtracts
Providers
Configs
Derived
User
Documents
Payment Processor
Consents
ProviderAccounts
Auth
Holdings
Verify Account
Account Token
Institutions
Statements
E账通
摩贝模式
批量开户
收单产品
客户成长体系
新客福利
礼遇抽奖
II/III类混合账户体系
III类账户体系
II类账户体系
借记卡公共服务
账户公共服务
风险评估
外汇来报服务补录
网点信息查询
零贷产品
零贷公共服务
